country,continent,youthRate,elderlyRate
Ukraine,Europe,99.762321472168,99.489990234375
United Arab Emirates,Asia,99.4596710205078,72.314582824707
Uruguay,South America,98.8174514770508,96.7559967041016
Uzbekistan,Asia,100,99.9261474609375
Vanuatu,Oceania,95.7193298339844,41.5821990966797
Venezuela,South America,97.7294387817383,83.9838714599609
Vietnam,Asia,98.0616683959961,82.084228515625
Yemen,Asia,90.2369232177734,17.0956897735596
Zambia,Africa,91.5209884643555,56.4130783081055
Zimbabwe,Africa,91.7500534057617,63.1132202148438
